zzz.txt

zzz.txt

zzz.txt
colission detection RH: i(19 / 23) t(mmx | mmx) h1(df3a1cf852178b30c27eb36d400f0379) h2(d00379c9414701fb77eac2adb795b94c)
colission detection AES: i(19 / 23) t(mmx | mmx) h1(d00379c9414701fb77eac2adb795b94c) h2(d00379c9414701fb77eac2adb795b94c)
colission detection RH: i(26 / 27) t(zero | zero) h1(c87bfb969b0647891b9bc425ba7db2f7) h2(fdd7ac5c896c626fd7d0e2ebddd52d8e)
colission detection AES: i(26 / 27) t(zero | zero) h1(fdd7ac5c896c626fd7d0e2ebddd52d8e) h2(fdd7ac5c896c626fd7d0e2ebddd52d8e)
colission detection RH: i(27 / 28) t(zero | zero) h1(c87bfb969b0647891b9bc425ba7db2f7) h2(fdd7ac5c896c626fd7d0e2ebddd52d8e)
colission detection AES: i(27 / 28) t(zero | zero) h1(fdd7ac5c896c626fd7d0e2ebddd52d8e) h2(fdd7ac5c896c626fd7d0e2ebddd52d8e)

zzz.txt
colission detection RH: i(19 / 23) t(mmx | mmx) h1(df3a1cf852178b30c27eb36d400f0379) h2(d00379c9414701fb77eac2adb795b94c)
colission detection AES: i(19 / 23) t(mmx | mmx) h1(d00379c9414701fb77eac2adb795b94c) h2(d00379c9414701fb77eac2adb795b94c)
colission detection RH: i(26 / 27) t(zero | zero) h1(c87bfb969b0647891b9bc425ba7db2f7) h2(fdd7ac5c896c626fd7d0e2ebddd52d8e)
colission detection AES: i(26 / 27) t(zero | zero) h1(fdd7ac5c896c626fd7d0e2ebddd52d8e) h2(fdd7ac5c896c626fd7d0e2ebddd52d8e)
colission detection RH: i(27 / 28) t(zero | zero) h1(c87bfb969b0647891b9bc425ba7db2f7) h2(fdd7ac5c896c626fd7d0e2ebddd52d8e)
colission detection AES: i(27 / 28) t(zero | zero) h1(fdd7ac5c896c626fd7d0e2ebddd52d8e) h2(fdd7ac5c896c626fd7d0e2ebddd52d8e)

IP.dic

upl.txt
colission detection RH: i(1 / 4) t(  |  ) h1(96efa71ade33083b5841de2efcc95851) h2(248bee68ac190d2ceab5c8c67a5f5d3a)
colission detection RH: i(2 / 81) t(= | =) h1(773a4d466716960a6008b58f55386b45) h2(4eb58a12e6a91255b667938d6657bb32)
colission detection RH: i(3 / 76) t( | ) h1(dc6082bfda0a84233396b73d43677d0b) h2(875bb94d6cd478f49df82db94f703962)
colission detection AES: i(3 / 76) t( | ) h1(875bb94d6cd478f49df82db94f703962) h2(875bb94d6cd478f49df82db94f703962)
colission detection AES: i(2 / 81) t(= | =) h1(4eb58a12e6a91255b667938d6657bb32) h2(4eb58a12e6a91255b667938d6657bb32)
colission detection RH: i(4 / 50) t(  |  ) h1(96efa71ade33083b5841de2efcc95851) h2(248bee68ac190d2ceab5c8c67a5f5d3a)
colission detection AES: i(1 / 4) t(  |  ) h1(248bee68ac190d2ceab5c8c67a5f5d3a) h2(248bee68ac190d2ceab5c8c67a5f5d3a)
colission detection RH: i(8 / 12) t(a | a) h1(7c944ae2807aac1be3eb8a67570980c5) h2(74c2c0e0b686f9ae7949c656e440a60)
colission detection RH: i(7 / 17) t(l | l) h1(95767e9eb3319d1fe60b5f7a2659a078) h2(770f3a921e018949eae8edb247f50f6b)
colission detection AES: i(4 / 50) t(  |  ) h1(248bee68ac190d2ceab5c8c67a5f5d3a) h2(248bee68ac190d2ceab5c8c67a5f5d3a)
colission detection RH: i(9 / 11) t(" | ") h1(98b23c09e359fdaabf0ec582c95b970c) h2(ed0371134983a9887abaad936c50fe5a)
colission detection AES: i(9 / 11) t(" | ") h1(ed0371134983a9887abaad936c50fe5a) h2(ed0371134983a9887abaad936c50fe5a)
colission detection AES: i(8 / 12) t(a | a) h1(74c2c0e0b686f9ae7949c656e440a60) h2(74c2c0e0b686f9ae7949c656e440a60)
colission detection AES: i(7 / 17) t(l | l) h1(770f3a921e018949eae8edb247f50f6b) h2(770f3a921e018949eae8edb247f50f6b)
colission detection RH: i(6 / 9) t(" | ") h1(98b23c09e359fdaabf0ec582c95b970c) h2(ed0371134983a9887abaad936c50fe5a)
colission detection RH: i(10 / 39) t(e | e) h1(89db3fdeea2eeb5038218e4831235fd) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection RH: i(11 / 59) t(" | ") h1(98b23c09e359fdaabf0ec582c95b970c) h2(ed0371134983a9887abaad936c50fe5a)
colission detection RH: i(12 / 26) t(a | a) h1(7c944ae2807aac1be3eb8a67570980c5) h2(74c2c0e0b686f9ae7949c656e440a60)
colission detection AES: i(6 / 9) t(" | ") h1(ed0371134983a9887abaad936c50fe5a) h2(ed0371134983a9887abaad936c50fe5a)
colission detection AES: i(10 / 39) t(e | e) h1(dabc6574963a350578eec162ff3e3a8a) h2(dabc6574963a350578eec162ff3e3a8a)
colission detection AES: i(11 / 59) t(" | ") h1(ed0371134983a9887abaad936c50fe5a) h2(ed0371134983a9887abaad936c50fe5a)
colission detection AES: i(12 / 26) t(a | a) h1(74c2c0e0b686f9ae7949c656e440a60) h2(74c2c0e0b686f9ae7949c656e440a60)
colission detection RH: i(13 / 21) t(t | t) h1(3d86e97468091533aee9967376960d26) h2(bb1e73eb6c08dbe3d79d137bfc6cf2ee)
colission detection RH: i(14 / 40) t(c | c) h1(5e03812a90cd0011c0030dc60b5847ce) h2(1c3cbcced01f08d914bb7233fc760575)
colission detection AES: i(14 / 40) t(c | c) h1(1c3cbcced01f08d914bb7233fc760575) h2(1c3cbcced01f08d914bb7233fc760575)
colission detection RH: i(16 / 54) t(p | p) h1(84efeca1a300c8d99fb0132ad058e5d2) h2(86fc631d2808b63e68f037b8a56328f9)
colission detection AES: i(13 / 21) t(t | t) h1(bb1e73eb6c08dbe3d79d137bfc6cf2ee) h2(bb1e73eb6c08dbe3d79d137bfc6cf2ee)
colission detection RH: i(15 / 28) t(r | r) h1(897241df8d95e042d639b2392f35d4a8) h2(bc7445284ea12594af382b1f8812a11f)
colission detection RH: i(17 / 31) t(l | l) h1(95767e9eb3319d1fe60b5f7a2659a078) h2(770f3a921e018949eae8edb247f50f6b)
colission detection AES: i(16 / 54) t(p | p) h1(86fc631d2808b63e68f037b8a56328f9) h2(86fc631d2808b63e68f037b8a56328f9)
